Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fragile and conflict affected situations,336293932,344736362,353568055,362707108,372022500,381419066,390889972,400456806,410146920,419986678,430002303,440218679,450626774,461192790,471835322,482530732,493290951,504119229,515215936
Finland,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5518050
Fiji,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483
France,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244
Faroe Islands,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497
"Micronesia, Fed. Sts.",107402,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,108895,110215,111459,112640
Gabon,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275
United Kingdom,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991
Georgia,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3731000
Ghana,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108
Gibraltar,31077,31602,32102,32555,32928,33219,33417,33517,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718
Guinea,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318
"Gambia, The",1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102
Guinea-Bissau,1201301,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309
Equatorial Guinea,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974
Greece,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668
Grenada,102833,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454
Greenland,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025
Guatemala,11650743,11924946,12208848,12500478,12796925,13096028,13397021,13700327,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807
Guam,155329,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768
Guyana,746715,745206,744789,745143,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004
High income,1077839576,1084888957,1092175508,1099365177,1106953027,1114743713,1123222521,1132154767,1141674064,1150180708,1157826206,1163335501,1170223344,1177175241,1184323353,1191326855,1198350350,1204429565,1210312147
"Hong Kong SAR, China",6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000
Honduras,6574509,6751912,6929265,7106319,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522
Heavily indebted poor countries (HIPC),471680794,485112686,499113575,513601239,528444632,543555326,558909236,574560260,590590368,607115564,624219326,641921311,660193774,679012664,698336451,718128416,738387254,759106221,780234406
Croatia,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400
Haiti,8463806,8608819,8754150,8900104,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176
Hungary,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785
IBRD only,3981934121,4027560123,4072371012,4116879950,4161045550,4205058601,4248617747,4291629776,4334791952,4378481189,4421851199,4465853343,4510296617,4555067814,4599654984,4643767826,4687686335,4731120193,4772284113
IDA & IBRD total,5066140135,5138190545,5209873584,5281727972,5353754291,5426151241,5498679869,5571274179,5644570358,5718843756,5793479782,5869059895,5945148626,6022137210,6099662180,6177552865,6256138021,6335039629,6412522234
IDA total,1084206014,1110630422,1137502572,1164848022,1192708741,1221092640,1250062122,1279644403,1309778406,1340362567,1371628583,1403206552,1434852009,1467069396,1500007196,1533785039,1568451686,1603919436,1640238121
IDA blend,366210370,374871731,383578460,392391532,401420450,410737369,420376591,430363365,440671619,451237921,462331503,473598444,484720757,496066901,507644354,519429790,531399044,543525897,555830605
Indonesia,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435
IDA only,717995644,735758691,753924112,772456490,791288291,810355271,829685531,849281038,869106787,889124646,909297080,929608108,950131252,971002495,992362842,1014355249,1037052642,1060393539,1084407516
Isle of Man,76941,77703,78318,78884,79520,80305,81285,82408,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077
India,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328
Not classified,,,,,,,,,,,,,,,,,,,
Ireland,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4853506
"Iran, Islamic Rep.",65623405,66449112,67284796,68122938,68951281,69762347,70554760,71336475,72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269
